"","SRR6396793","SRR6396794","SRR6396795","SRR6396796","SRR6396797","SRR6396798","SRR6396799","SRR6396800","SRR6396801","SRR6396802","SRR6396803"
"ENSRNOG00000058299",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000018334",13,12,20,2,17,20,227,201,421,627,698
"ENSRNOG00000070685",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000060004",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069399",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067907",0,0,1,0,0,1,0,0,0,0,4
"ENSRNOG00000014726",1,2,10,0,3,4,0,0,0,7,6
"ENSRNOG00000063196",114,135,250,68,237,242,2,1,2,5,4
"ENSRNOG00000060273",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070216",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000051969",1,1,0,0,2,0,1,0,2,1,3
"ENSRNOG00000023407",336,333,532,127,561,669,415,445,795,806,864
"ENSRNOG00000035654",0,0,0,0,0,0,0,1,0,0,0
"ENSRNOG00000061890",0,1,12,0,7,2,2,2,4,0,0
"ENSRNOG00000010529",19,32,25,10,30,55,330,312,1240,4353,5189
"ENSRNOG00000012684",211,225,463,99,366,488,443,434,1141,806,906
"ENSRNOG00000069040",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000014258",10,16,9,4,11,14,129,96,439,274,303
"ENSRNOG00000010918",0,0,0,0,0,1,4,4,2,0,0
"ENSRNOG00000066483",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000051780",0,0,0,0,0,2,1,0,0,0,0
"ENSRNOG00000067027",0,0,1,0,0,1,1,0,6,4,2
"ENSRNOG00000035560",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000019416",5910,5746,10495,2600,10896,14289,759,741,1274,1749,1731
"ENSRNOG00000017366",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000053012",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000059864",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000053838",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068567",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063945",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066101",3940,4027,7422,1761,7122,8583,58,79,91,157,192
"ENSRNOG00000057261",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070161",0,0,0,0,0,0,0,0,2,0,0
"ENSRNOG00000065242",7,20,46,16,28,39,1,2,4,6,2
"ENSRNOG00000063217",0,0,9,0,10,9,38,38,78,30,25
"ENSRNOG00000036631",5,7,16,6,11,12,3,2,6,5,6
"ENSRNOG00000066494",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000016659",0,2,2,0,3,2,14,10,39,15,7
"ENSRNOG00000059820",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000049846",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000014946",405,391,760,162,841,1042,1287,1342,2869,3829,3753
"ENSRNOG00000070965",0,1,0,0,0,0,0,1,4,0,2
"ENSRNOG00000065570",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069390",70,76,190,49,136,170,0,0,0,0,0
"ENSRNOG00000020318",2314,2288,4219,1120,3996,5094,277,261,585,543,582
"ENSRNOG00000047406",2688,2657,5848,1472,5680,6860,7,5,8,12,8
"ENSRNOG00000070104",6,5,11,2,14,13,9,9,26,37,28
"ENSRNOG00000050445",2103,2144,3230,822,3661,4105,2906,2821,4268,4273,4117
"ENSRNOG00000069614",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069896",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000035565",0,1,0,0,0,0,0,0,0,0,0
"ENSRNOG00000031110",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000058224",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067930",101,103,399,90,241,385,0,1,0,1,0
"ENSRNOG00000016597",1,1,1,0,0,0,0,1,1,1,3
"ENSRNOG00000064367",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064092",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067132",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068454",1,5,2,1,0,0,0,0,0,1,0
"ENSRNOG00000018953",1,0,3,1,3,0,7,7,15,20,21
"ENSRNOG00000069628",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000062564",0,0,1,0,3,2,38,40,76,80,78
"ENSRNOG00000065292",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000018940",7,12,23,11,42,50,24,16,42,12,11
"ENSRNOG00000068976",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000013945",134,124,314,68,290,291,311,319,748,863,890
"ENSRNOG00000068368",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070203",0,0,0,0,0,0,0,0,0,0,0
