"","SRR6396793","SRR6396794","SRR6396795","SRR6396796","SRR6396797","SRR6396798","SRR6396799","SRR6396800","SRR6396801","SRR6396802","SRR6396803"
"ENSRNOG00000007814",2725,2672,5405,1279,5713,7070,2584,2712,6418,4076,3972
"ENSRNOG00000011363",448,487,857,247,1069,1213,351,365,799,771,799
"ENSRNOG00000009565",114,98,69,13,105,96,80,62,200,319,325
"ENSRNOG00000012785",249,279,630,135,498,638,938,1027,2169,2755,2880
"ENSRNOG00000069335",0,0,0,0,0,0,0,0,2,1,0
"ENSRNOG00000013510",836,840,1457,381,1490,1762,359,333,613,595,650
"ENSRNOG00000008168",93,97,101,33,150,171,435,440,1092,1403,1608
"ENSRNOG00000013517",206,188,322,89,469,514,556,552,1350,1552,1525
"ENSRNOG00000021855",502,537,1583,450,1449,1495,1336,1337,2181,3970,4245
"ENSRNOG00000065807",2,0,0,0,0,1,0,1,0,0,0
"ENSRNOG00000008869",796,794,1612,393,1727,1957,457,445,1132,2584,2554
"ENSRNOG00000010473",133,130,308,77,395,413,1479,1461,3571,3796,4026
"ENSRNOG00000007041",312,342,623,147,683,876,322,331,636,443,380
"ENSRNOG00000007792",852,878,1659,390,1695,2283,397,382,951,1035,1050
"ENSRNOG00000013431",585,613,1017,214,1081,1401,662,661,1487,1209,1209
"ENSRNOG00000050469",94,95,57,11,91,69,609,553,1305,1399,1539
"ENSRNOG00000006858",64,67,143,33,150,150,434,393,799,989,1034
"ENSRNOG00000007806",622,674,1019,274,1071,1159,3027,2916,6360,5881,6223
"ENSRNOG00000012972",47,45,32,16,51,54,25,23,72,211,73
"ENSRNOG00000068395",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000010420",1020,1024,1909,424,2050,2617,1273,1247,3029,2281,2414
"ENSRNOG00000065130",7973,7955,19220,4538,16559,21398,4,5,4,9,4
"ENSRNOG00000062993",0,0,0,0,1,0,0,0,0,0,0
"ENSRNOG00000011283",93,99,189,34,214,236,127,127,195,282,274
"ENSRNOG00000005694",1,3,2,2,1,4,0,1,5,5,1
"ENSRNOG00000039383",5293,5378,11430,2990,11756,12872,10,13,27,6,6
"ENSRNOG00000010746",1568,1567,2397,580,2544,2790,4755,4694,11163,6748,7559
"ENSRNOG00000070667",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000008902",4,4,16,4,24,6,0,1,9,5,6
"ENSRNOG00000023969",9,12,14,2,37,24,22,25,60,134,120
"ENSRNOG00000051433",344,324,662,189,662,707,179,219,374,324,267
"ENSRNOG00000027376",22,20,18,7,39,35,192,214,413,541,658
"ENSRNOG00000038471",0,0,0,0,0,0,0,0,0,1,0
"ENSRNOG00000066853",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000006197",670,642,1020,223,1285,1479,12308,12152,29830,32180,31831
"ENSRNOG00000062765",0,0,0,0,0,0,0,0,0,0,1
"ENSRNOG00000013261",1,2,2,0,0,5,2,4,15,9,6
"ENSRNOG00000009414",435,481,939,274,925,1059,743,719,1629,1741,1684
"ENSRNOG00000066882",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000069908",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000028801",26,33,40,8,41,53,181,198,433,286,269
"ENSRNOG00000069268",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000009863",2,1,6,0,5,4,27,40,89,42,31
"ENSRNOG00000068406",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000024986",5,2,0,0,4,11,88,99,656,406,476
"ENSRNOG00000013911",152,133,252,72,304,350,363,372,862,829,776
"ENSRNOG00000063021",1009,1065,1765,430,1787,1990,554,563,1011,634,700
"ENSRNOG00000007990",778,759,1073,263,1303,1441,2530,2475,5722,5949,5488
"ENSRNOG00000011292",1040,1067,677,191,1051,963,20706,20534,75219,152546,205457
"ENSRNOG00000065235",0,0,2,0,1,0,0,0,0,0,0
"ENSRNOG00000008656",3,1,9,0,9,8,41,48,219,29,12
"ENSRNOG00000008157",97,110,216,57,258,215,108,119,271,56,43
"ENSRNOG00000063846",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000019986",151,141,286,66,293,359,857,849,1766,1625,1700
"ENSRNOG00000061373",45,40,36,9,66,47,275,267,629,840,784
"ENSRNOG00000067395",0,0,1,0,0,1,1,0,2,0,1
"ENSRNOG00000008332",42,43,38,16,78,89,2917,2832,7248,7969,7596
"ENSRNOG00000069227",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000007947",29,47,27,7,58,41,382,378,820,1119,1066
"ENSRNOG00000006874",0,1,0,0,1,1,0,0,0,2,1
"ENSRNOG00000007955",52,57,107,21,128,109,46,52,100,289,248
"ENSRNOG00000063630",61,56,153,34,91,178,10,8,18,5,0
"ENSRNOG00000068262",0,1,1,0,0,0,0,0,0,0,0
"ENSRNOG00000006576",698,702,1340,293,1532,1830,2116,2041,4707,4138,3804
"ENSRNOG00000021441",37,38,50,13,62,76,392,432,1258,627,613
"ENSRNOG00000047453",144,162,220,56,288,380,595,572,1338,1378,1442
"ENSRNOG00000015581",3456,3402,5335,1317,6137,8082,19,35,52,107,55
"ENSRNOG00000007100",53281,53627,110778,26509,116104,143552,814,735,1799,1341,1335
"ENSRNOG00000007924",690,656,1211,269,1301,1624,759,748,1696,1538,1486
"ENSRNOG00000062430",1,4,7,1,9,7,0,0,0,0,0
"ENSRNOG00000064707",0,0,0,0,0,3,3,0,0,0,0
"ENSRNOG00000005268",4,2,8,0,5,4,0,0,0,0,1
"ENSRNOG00000007546",3033,2945,5935,1493,5901,6062,516,496,1170,2533,2720
"ENSRNOG00000028896",680,705,1293,283,1137,1601,688,633,2989,3357,2913
"ENSRNOG00000070702",1310,1415,2818,622,2519,3052,3,3,10,3,2
"ENSRNOG00000008939",0,3,10,3,10,9,1,0,7,5,4
"ENSRNOG00000070617",1,0,0,0,0,2,2,6,3,5,6
"ENSRNOG00000065391",0,0,1,0,0,1,0,0,5,0,2
"ENSRNOG00000057096",347,352,643,163,678,738,268,298,712,907,818
"ENSRNOG00000022448",124,112,223,43,254,284,572,585,1249,977,1052
"ENSRNOG00000008524",410,382,714,177,724,914,486,496,1142,709,740
"ENSRNOG00000020032",93,84,84,16,101,98,1618,1654,3547,3023,3158
"ENSRNOG00000011808",0,0,0,0,0,1,1,0,0,1,0
"ENSRNOG00000006116",391,399,735,181,744,955,525,529,1476,1343,1083
"ENSRNOG00000043035",3590,3423,7153,1732,6736,8891,94,100,199,110,177
"ENSRNOG00000008309",43,41,71,18,79,77,432,471,898,930,1058
"ENSRNOG00000070386",488,494,1210,295,1007,1388,901,921,2207,2575,2701
"ENSRNOG00000045797",2,0,0,0,1,0,0,0,2,4,1
"ENSRNOG00000012817",30,45,34,10,56,35,3749,3679,8318,8363,8831
"ENSRNOG00000007842",1464,1547,2892,790,2862,3255,960,974,2006,2057,2128
"ENSRNOG00000021468",207,195,177,48,428,555,8,13,43,10,5
"ENSRNOG00000008062",75,63,198,46,193,243,60,79,97,131,142
"ENSRNOG00000030269",205,228,454,126,418,465,62,69,150,68,60
"ENSRNOG00000008628",6578,6513,12219,2886,12382,14065,274,250,599,175,172
"ENSRNOG00000008466",0,0,0,0,0,0,0,0,2,0,0
"ENSRNOG00000066158",0,0,0,0,0,3,0,0,0,0,0
"ENSRNOG00000048371",592,583,973,242,1046,1377,180,221,515,325,302
"ENSRNOG00000031173",525,470,734,182,829,885,4397,4405,9589,7084,7438
"ENSRNOG00000011617",81,84,130,33,120,161,455,421,676,708,651
"ENSRNOG00000070169",0,0,20,4,0,0,0,0,2,0,0
"ENSRNOG00000008098",13,16,27,5,33,45,73,72,181,326,408
"ENSRNOG00000011387",48,52,63,22,89,91,748,756,2080,2862,2795
"ENSRNOG00000068074",0,0,0,0,0,0,0,0,1,3,2
"ENSRNOG00000033618",75,73,217,54,186,260,1,1,3,21,27
"ENSRNOG00000037198",32,25,55,17,62,49,32,27,52,29,22
"ENSRNOG00000023679",25,23,47,16,44,105,309,305,774,495,489
"ENSRNOG00000015493",8,5,27,8,13,23,15,17,26,15,5
"ENSRNOG00000012932",1383,1368,3363,690,2956,3681,109,94,276,90,53
"ENSRNOG00000011144",3,4,13,6,17,18,2,2,3,5,4
"ENSRNOG00000010345",4441,4447,9038,2110,9323,11151,30,36,72,64,67
"ENSRNOG00000030151",1,3,10,1,8,8,82,59,271,277,243
"ENSRNOG00000015076",779,817,872,224,1714,1405,3180,3141,7210,6500,4530
"ENSRNOG00000011338",115,133,219,53,212,295,873,872,1996,1862,1980
"ENSRNOG00000006132",8294,8392,15256,3957,16027,17499,3,2,1,4,3
"ENSRNOG00000007804",188,200,410,87,386,488,153,148,386,347,364
"ENSRNOG00000067962",34,27,28,1,62,31,14,17,27,66,86
"ENSRNOG00000012026",4334,4323,7314,1821,7304,8869,3125,3039,6568,5743,5912
"ENSRNOG00000049269",12,5,36,1,37,37,4,5,33,14,16
"ENSRNOG00000007900",52,38,99,40,101,142,185,165,437,64,58
"ENSRNOG00000010905",0,0,1,0,1,3,0,1,5,11,6
"ENSRNOG00000042731",123,85,193,51,161,193,125,126,266,1393,1661
"ENSRNOG00000067502",0,0,2,0,0,0,0,1,1,2,1
"ENSRNOG00000007437",62,51,56,16,64,75,102,126,309,670,511
"ENSRNOG00000012392",3574,3628,7509,1653,8000,10172,1297,1243,3092,2596,2398
"ENSRNOG00000014501",1183,1205,1946,456,2404,2943,2819,2921,6925,7660,7384
"ENSRNOG00000011153",159,171,244,90,372,398,598,568,1295,1247,1214
"ENSRNOG00000006391",444,434,943,187,899,1095,1428,1460,3231,4128,4105
"ENSRNOG00000025209",269,262,449,101,517,473,3564,3544,8634,4865,4666
"ENSRNOG00000012881",269,260,177,39,505,366,24,29,183,514,779
"ENSRNOG00000021758",1755,1817,3711,963,4053,5039,2305,2262,5301,5608,5701
"ENSRNOG00000050231",264,281,419,125,522,553,2372,2305,5352,5804,5781
"ENSRNOG00000006526",410,413,668,142,670,842,1150,1144,2885,7119,6638
"ENSRNOG00000006717",30,32,42,11,70,66,547,524,1240,1412,1335
"ENSRNOG00000006583",1,2,2,2,3,1,12,11,27,43,44
"ENSRNOG00000068221",0,0,15,5,0,0,0,0,0,0,0
"ENSRNOG00000066686",0,0,0,0,0,1,0,0,0,0,0
"ENSRNOG00000009700",89,83,238,43,184,208,49,36,114,37,27
"ENSRNOG00000015768",39,34,35,9,40,28,27,31,66,107,88
"ENSRNOG00000009742",82,71,113,22,154,206,249,202,369,424,440
"ENSRNOG00000012693",3928,3946,7332,1821,6981,8807,1959,2084,4139,3534,3540
"ENSRNOG00000069727",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000009000",94,93,138,51,291,280,934,958,2120,2472,2860
"ENSRNOG00000066361",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000063451",0,0,0,0,1,0,0,0,0,0,0
"ENSRNOG00000064111",48,49,86,21,91,147,1,1,1,6,2
"ENSRNOG00000006631",34,44,79,24,67,108,18,16,55,174,174
"ENSRNOG00000007544",11,23,20,6,34,24,14,19,31,63,78
"ENSRNOG00000008752",233,223,406,113,414,489,1481,1522,3246,2581,2534
"ENSRNOG00000070192",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000015411",4,3,3,1,10,9,12,13,43,71,83
"ENSRNOG00000010378",124,131,245,63,231,280,13,17,27,77,106
"ENSRNOG00000048205",1373,1390,2533,603,2655,3211,3975,3975,9685,8406,8625
"ENSRNOG00000022950",3,2,2,1,4,3,48,42,97,44,23
"ENSRNOG00000005906",138,137,79,17,183,111,85,110,228,73,90
"ENSRNOG00000015331",0,0,1,0,0,1,15,12,36,16,11
"ENSRNOG00000065131",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000048088",7,3,5,1,3,78,10468,10218,21579,12142,12867
"ENSRNOG00000064705",0,0,0,0,0,1,0,0,1,0,3
"ENSRNOG00000009956",8639,8972,18410,4755,20266,24632,5082,5223,13071,13455,12863
"ENSRNOG00000008368",0,0,0,0,1,0,0,1,7,6,3
"ENSRNOG00000006206",407,377,731,159,765,906,802,848,1986,2638,2835
"ENSRNOG00000063398",15,8,3,1,10,8,13,36,69,96,64
"ENSRNOG00000007340",1747,1823,3006,858,3124,3725,332,373,647,540,570
"ENSRNOG00000010833",260,246,287,83,390,449,587,657,1662,1250,1318
"ENSRNOG00000067011",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000007224",209,211,340,82,380,445,445,457,1209,1684,1721
"ENSRNOG00000007662",545,519,851,216,1024,1244,277,291,604,697,744
"ENSRNOG00000012337",14,9,12,6,23,26,124,119,287,560,594
"ENSRNOG00000008376",24379,24861,46211,12050,53971,60297,376,359,920,483,432
"ENSRNOG00000011014",2531,2566,4442,1080,5872,6965,3304,3381,7445,4587,4711
"ENSRNOG00000009957",98,106,176,43,216,220,600,540,1255,1690,1707
"ENSRNOG00000022343",7349,7182,14857,3553,15632,19192,2574,2612,6307,5077,5031
"ENSRNOG00000070521",0,0,0,0,0,1,0,1,0,0,0
"ENSRNOG00000059474",480,431,864,220,921,1096,1922,1877,4893,5560,5914
"ENSRNOG00000005512",274,296,443,99,442,481,2444,2453,4471,4205,4564
"ENSRNOG00000028219",1547,1603,3350,855,3415,4281,691,682,1440,1783,1750
"ENSRNOG00000012394",672,587,1190,293,1509,1748,1264,1327,3310,3180,2990
"ENSRNOG00000013962",2388,2381,4322,1190,4441,5623,57,58,145,213,238
"ENSRNOG00000060689",295,287,433,102,518,643,180,206,438,380,365
"ENSRNOG00000014083",0,3,5,2,28,23,106,86,328,108,66
"ENSRNOG00000012439",27,29,38,15,27,45,349,334,767,835,731
"ENSRNOG00000006003",2121,2111,4376,1032,4264,5325,832,748,1629,3133,3116
"ENSRNOG00000012876",0,0,1,0,1,0,3,4,67,7,7
"ENSRNOG00000008142",522,568,1096,279,1097,1221,1192,1079,2419,2586,2567
"ENSRNOG00000010950",1742,1755,2974,807,2818,3623,544,472,991,975,1014
"ENSRNOG00000006093",2,3,11,2,13,9,0,2,10,14,12
"ENSRNOG00000011566",430,462,1168,285,962,1161,1318,1291,2856,747,427
"ENSRNOG00000013573",31,13,49,9,45,29,0,0,1,5,1
"ENSRNOG00000014578",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000013712",2341,2409,4611,1283,4797,5518,871,811,2112,2137,2113
"ENSRNOG00000052140",177,182,306,72,356,316,286,265,618,722,791
"ENSRNOG00000005775",1795,1812,3852,804,3923,5027,2016,2052,5213,4957,4732
"ENSRNOG00000045539",472,461,752,165,812,928,978,958,2113,2201,2270
"ENSRNOG00000017066",1618,1629,3267,830,3416,3879,1427,1424,2857,2861,2955
"ENSRNOG00000057729",1182,1157,2406,590,2448,2904,589,594,1248,2169,2298
"ENSRNOG00000021781",41,45,45,10,54,49,857,857,1889,2644,2533
"ENSRNOG00000001808",1160,1040,2075,536,2306,2458,1570,1515,3742,2968,2699
"ENSRNOG00000064930",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000010467",2917,3008,6212,1587,6379,7681,5,6,14,6,5
"ENSRNOG00000069710",21,14,13,2,7,3,4,5,8,5,7
"ENSRNOG00000014562",4437,4624,9340,2363,9528,12430,6833,6763,16572,16088,15927
"ENSRNOG00000021402",1235,1201,2543,734,2820,2886,2,3,10,8,3
"ENSRNOG00000001811",1101,1095,2247,509,2085,2583,895,891,1901,1764,1580
"ENSRNOG00000010725",3,1,0,0,3,0,62814,62245,90503,955,769
"ENSRNOG00000062723",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070875",211,186,313,85,378,400,438,437,890,1089,1178
"ENSRNOG00000005695",643,616,386,95,984,1303,1794,1842,5008,9909,11844
"ENSRNOG00000013589",460,431,141,38,485,465,6396,6209,12533,6239,5992
"ENSRNOG00000017710",0,0,0,0,0,1,5,0,8,14,1
"ENSRNOG00000065827",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066393",486,503,1168,273,1196,1397,4,6,7,9,12
"ENSRNOG00000068450",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000010278",0,0,0,0,0,0,0,1,1,4,1
"ENSRNOG00000069963",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068926",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066762",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000023065",927,905,1912,476,1636,1765,939,949,1986,2334,2225
"ENSRNOG00000009096",88,112,57,15,84,65,75,70,144,137,164
"ENSRNOG00000069795",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000017399",7462,7513,15056,4203,15706,18660,611,582,1140,1153,1283
"ENSRNOG00000067309",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000009022",19,11,17,5,44,27,530,475,1054,1057,1093
"ENSRNOG00000062434",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000007281",117,122,121,40,206,164,7245,7338,18781,15677,14873
"ENSRNOG00000042507",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000062492",20,17,12,7,20,24,10,15,28,2,3
"ENSRNOG00000009112",125,116,91,22,157,110,783,840,1748,2223,2446
"ENSRNOG00000062405",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000047114",3310,3241,6699,1824,5933,8141,28,24,39,26,30
"ENSRNOG00000023363",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000062429",2287,2358,4319,1092,4603,6126,337,322,853,868,899
"ENSRNOG00000006476",4477,4399,8488,2262,9247,9075,2,2,0,3,1
"ENSRNOG00000023337",97,103,224,33,201,254,217,237,849,1426,1504
"ENSRNOG00000033695",0,0,2,0,0,1,2,1,4,1,5
"ENSRNOG00000005615",82,102,165,34,209,193,175,142,354,615,614
"ENSRNOG00000009324",2460,2486,4044,1139,4381,2813,298,266,579,285,300
"ENSRNOG00000029574",7,4,6,1,20,10,199,174,484,475,515
"ENSRNOG00000068666",0,0,0,0,0,0,0,0,0,0,1
"ENSRNOG00000018453",237,247,500,108,547,610,1259,1332,2839,1919,1808
"ENSRNOG00000027655",0,0,1,1,4,15,2,0,0,0,5
"ENSRNOG00000065557",232,259,171,50,445,514,6,17,15,7,2
"ENSRNOG00000054428",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000008962",1,0,0,0,1,2,0,0,2,0,1
"ENSRNOG00000006857",9,10,31,7,38,68,20,32,269,252,261
"ENSRNOG00000007027",7,4,2,0,11,2,389,453,919,657,601
"ENSRNOG00000064781",0,0,0,0,0,0,1,0,1,1,0
"ENSRNOG00000067883",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000024709",55,66,126,31,151,166,31,32,65,60,46
"ENSRNOG00000031707",14932,15027,26382,7544,29297,30585,3064,3323,6718,587,269
"ENSRNOG00000047566",2,0,1,1,1,1,2,0,10,1,8
"ENSRNOG00000066643",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000059347",2,3,7,0,5,5,11,16,30,45,52
"ENSRNOG00000064041",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000059615",204,198,313,71,351,378,1246,1179,2867,2859,2696
"ENSRNOG00000024685",1,2,2,0,1,4,0,0,0,0,0
"ENSRNOG00000067683",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000056052",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000058543",0,1,0,0,1,0,0,0,0,0,0
"ENSRNOG00000066785",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067965",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000066267",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070247",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064825",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000010253",54,59,57,16,170,90,4,10,18,89,80
"ENSRNOG00000062896",0,1,0,1,2,2,1,1,4,2,0
"ENSRNOG00000039300",1028,1006,1939,482,2117,2335,633,662,1573,1813,1662
"ENSRNOG00000052702",1,1,5,0,3,1,0,1,8,7,10
"ENSRNOG00000033531",207,247,492,134,530,666,170,171,583,765,767
"ENSRNOG00000054508",16,14,29,5,47,54,29,27,135,87,81
"ENSRNOG00000021799",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000005890",2633,2527,4442,1043,4896,6240,7876,7831,18427,19334,19302
"ENSRNOG00000069945",0,0,0,0,0,0,1,0,3,1,2
"ENSRNOG00000053203",1731,1746,3765,1017,3742,4222,2421,2452,5592,4933,4894
"ENSRNOG00000064958",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000019719",3,1,1,0,2,2,1,3,15,6,3
"ENSRNOG00000032847",16,9,2,1,13,4,9,13,2,3,2
"ENSRNOG00000024636",3,2,2,0,2,5,34,34,106,331,370
"ENSRNOG00000027557",0,0,0,0,0,0,8,16,30,24,33
"ENSRNOG00000064052",3,4,14,1,11,3,3,9,23,81,71
"ENSRNOG00000027445",0,0,3,0,0,0,0,0,1,0,0
"ENSRNOG00000005376",191,167,289,68,295,384,807,828,2071,2175,2199
"ENSRNOG00000042494",1481,1607,2965,666,2797,3590,1,3,4,0,0
"ENSRNOG00000056836",245,219,179,41,482,549,1791,1841,4701,6372,5932
"ENSRNOG00000012195",0,0,0,0,0,1,1,0,1,3,2
"ENSRNOG00000007270",0,1,0,0,1,1,52,59,89,65,47
"ENSRNOG00000026225",0,0,0,0,0,0,1,2,1,0,1
"ENSRNOG00000010048",13817,13929,24067,6849,25783,28649,5614,5749,12490,11862,11111
"ENSRNOG00000030413",0,0,0,0,3,0,1,0,1,1,4
"ENSRNOG00000051905",94,96,195,50,228,272,3,2,10,44,33
"ENSRNOG00000032535",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000006782",0,0,0,0,0,0,7,9,30,14,9
"ENSRNOG00000034071",19,12,26,6,31,41,19,20,56,57,47
"ENSRNOG00000057290",202,188,331,92,447,515,1059,1010,2428,3530,3584
"ENSRNOG00000066812",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000028135",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000047774",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000039626",0,0,1,0,2,1,0,0,0,0,0
"ENSRNOG00000066438",0,0,0,0,0,0,0,0,3,0,2
"ENSRNOG00000054505",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000061595",2,3,11,2,8,6,2,0,8,22,18
"ENSRNOG00000069828",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000052486",0,1,5,1,6,0,175,170,341,411,492
"ENSRNOG00000054514",533,517,1009,241,1046,1170,1373,1427,3393,3002,2893
"ENSRNOG00000008031",29,37,75,17,28,38,153,141,373,63,28
"ENSRNOG00000028130",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064842",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070946",381,369,669,129,686,934,765,731,1952,1698,1750
"ENSRNOG00000017906",1,0,4,0,2,1,0,0,0,0,0
"ENSRNOG00000039863",0,3,1,1,1,0,0,0,1,3,3
"ENSRNOG00000005412",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000059350",1,1,2,2,3,1,2,2,1,1,0
"ENSRNOG00000066511",0,0,2,0,0,2,0,1,0,0,0
"ENSRNOG00000006646",31,29,41,10,58,75,1049,977,2624,2547,2633
"ENSRNOG00000007508",0,0,3,1,2,6,16,12,31,6,13
"ENSRNOG00000053213",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000013137",1,1,0,1,9,0,8,2,13,19,7
"ENSRNOG00000049982",136,134,221,53,240,218,355,343,913,1219,1456
"ENSRNOG00000026811",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000012495",112,103,147,38,216,329,1113,1144,3174,1626,1686
"ENSRNOG00000051952",4760,4745,9360,2525,9170,10537,501,491,1363,1713,2152
"ENSRNOG00000015719",29,24,36,9,37,41,1552,1515,3103,1032,628
"ENSRNOG00000017881",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000006779",699,714,1178,266,1155,766,702,709,1570,2036,2364
"ENSRNOG00000048169",4585,4788,8120,2310,9785,10260,3,4,3,21,11
"ENSRNOG00000063432",0,0,0,0,0,0,1,0,1,0,0
"ENSRNOG00000006810",2952,3198,5463,1391,5922,7069,944,925,2172,2903,2807
"ENSRNOG00000009583",1,0,2,0,3,1,0,0,0,0,0
"ENSRNOG00000028538",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000070474",20,17,46,10,35,74,14,13,57,63,68
"ENSRNOG00000057713",29,43,40,10,72,75,164,164,501,648,653
"ENSRNOG00000018159",109,139,135,27,200,159,472,488,1208,2277,2366
"ENSRNOG00000033274",2,5,5,0,7,5,15,11,20,12,18
"ENSRNOG00000007304",32,38,35,10,64,37,612,614,1380,1616,1466
"ENSRNOG00000034168",0,0,1,0,1,1,0,1,0,3,2
"ENSRNOG00000008839",24,26,67,12,72,59,1,1,5,14,24
"ENSRNOG00000026919",145,136,191,63,374,332,25,21,19,46,37
"ENSRNOG00000005519",428,421,994,212,862,1122,85,63,224,228,172
"ENSRNOG00000065301",13,15,65,6,79,62,3,6,34,35,41
"ENSRNOG00000007808",1,1,6,0,5,3,2,3,7,19,12
"ENSRNOG00000026941",28,25,20,4,49,54,1431,1393,4728,5872,5937
"ENSRNOG00000063440",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000060808",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000033748",4,0,4,0,1,9,2,2,2,8,7
"ENSRNOG00000067848",0,1,0,0,0,1,1,0,0,2,4
"ENSRNOG00000056243",314,264,691,159,603,785,371,315,737,901,915
"ENSRNOG00000067824",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000027055",7675,7717,17363,4463,18031,20615,0,0,0,0,0
"ENSRNOG00000057387",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000064582",1,5,1,0,1,6,0,0,0,0,0
"ENSRNOG00000047851",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000005818",92,83,181,52,167,261,46,59,166,232,200
"ENSRNOG00000061394",0,0,1,0,0,0,0,0,0,2,1
"ENSRNOG00000062606",0,0,0,0,1,0,0,0,0,0,0
"ENSRNOG00000046023",483,569,1039,249,1128,1287,2068,2023,5095,4329,4775
"ENSRNOG00000070044",0,0,0,0,0,0,1,0,0,0,0
"ENSRNOG00000065350",48,55,156,33,121,164,89,116,252,29,20
"ENSRNOG00000012822",0,0,1,0,0,0,0,1,0,0,0
"ENSRNOG00000007740",5,1,1,0,6,1,17,12,14,93,110
"ENSRNOG00000066271",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000068648",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000031207",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000008594",1271,1322,2312,550,2896,3952,1,1,0,0,0
"ENSRNOG00000067721",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000067416",104,106,229,55,157,295,66,60,185,267,245
"ENSRNOG00000031306",8,15,58,13,17,31,9,7,23,4,4
"ENSRNOG00000006383",3,3,6,3,8,7,2,0,2,13,9
"ENSRNOG00000005468",1750,1775,3826,972,4015,4720,677,624,1233,1426,1439
"ENSRNOG00000010057",0,0,0,0,0,0,0,0,0,1,1
"ENSRNOG00000042954",5288,5513,9852,2287,10570,12975,3,4,2,1,3
"ENSRNOG00000060343",283,321,699,137,666,764,618,602,1478,134,83
"ENSRNOG00000050482",698,690,1079,226,1199,1108,779,683,1588,1659,1553
"ENSRNOG00000063340",0,0,0,0,0,0,0,0,0,0,0
"ENSRNOG00000048888",1,0,0,0,0,0,0,0,0,0,0
